order_id,customer_id,product,category,region,quantity,sales,cost,order_date
1,4617,Mouse,Accessories,West,3,44284,23325.97,2025-11-13
2,2847,Keyboard,Accessories,South,5,17809,9160.54,2025-10-27
3,2394,Laptop,Electronics,West,4,6333,4740.82,2025-07-27
4,2217,Keyboard,Accessories,East,5,5607,3146.24,2025-11-30
5,2183,Keyboard,Accessories,West,5,42666,36993.98,2025-11-15
6,3013,Keyboard,Accessories,South,2,37054,23370.36,2025-09-05
7,3770,Laptop,Electronics,West,3,44486,30475.69,2025-10-12
8,3136,Printer,Office,South,2,38576,33977.74,2025-05-11
9,3335,Phone,Electronics,East,4,27565,16271.25,2025-10-08
10,3457,Phone,Electronics,North,3,49977,43026.45,2026-01-13
11,2959,Laptop,Electronics,South,5,45934,31657.8,2025-11-17
12,2257,Phone,Electronics,West,3,8867,7959.17,2026-01-11
13,1511,Mouse,Accessories,South,1,13557,7297.55,2026-01-01
14,4465,Keyboard,Accessories,East,1,27969,15652.7,2025-11-01
15,3319,Laptop,Electronics,North,2,34162,25674.56,2026-01-03
16,4431,Laptop,Electronics,South,4,35158,22490.45,2026-02-22
17,1157,Monitor,Electronics,West,4,21866,13758.17,2026-01-15
18,4397,Laptop,Electronics,East,4,32540,22860.89,2025-08-14
19,2261,Phone,Electronics,North,3,10598,5850.85,2025-12-04
20,1144,Printer,Office,South,5,2733,2361.32,2025-09-11
21,4945,Phone,Electronics,East,4,46573,29381.61,2025-11-01
22,2633,Laptop,Electronics,West,3,9572,5024.5,2025-12-05
23,2812,Phone,Electronics,South,2,4091,3279.29,2025-10-14
24,1180,Printer,Office,South,1,43959,30530.35,2025-12-31
25,1273,Mouse,Accessories,North,3,26002,23335.29,2025-06-28
26,4649,Laptop,Electronics,North,1,48099,39871.59,2025-11-05
27,1202,Monitor,Electronics,East,4,19909,16519.88,2026-03-20
28,3799,Keyboard,Accessories,North,1,2299,1493.77,2026-02-13
29,1075,Printer,Office,South,3,45360,23879.45,2026-01-26
30,3776,Phone,Electronics,South,1,38126,25087.72,2025-11-08
31,1576,Monitor,Electronics,West,4,30050,23608.44,2025-10-09
32,2664,Phone,Electronics,East,3,12345,10569.26,2025-05-11
33,3683,Laptop,Electronics,East,5,1950,1689.17,2025-08-18
34,1911,Monitor,Electronics,East,2,17929,9932.49,2025-08-06
35,2516,Monitor,Electronics,West,5,8314,4550.47,2025-08-05
36,4971,Laptop,Electronics,South,2,16101,13902.26,2025-08-01
37,1717,Phone,Electronics,North,3,12394,10948.87,2026-02-27
38,2387,Printer,Office,North,1,41294,28276.19,2026-04-19
39,2857,Keyboard,Accessories,North,4,5459,3077.73,2025-05-30
40,3644,Laptop,Electronics,East,4,46144,40100.32,2025-09-28
41,3687,Laptop,Electronics,North,3,26395,13825.44,2026-01-27
42,1666,Mouse,Accessories,West,1,37998,30896.83,2025-10-16
43,4232,Monitor,Electronics,East,4,22281,17936.7,2025-06-07
44,1751,Mouse,Accessories,South,4,27390,16748.63,2026-02-07
45,3690,Keyboard,Accessories,South,4,26461,15435.4,2025-08-08
46,4911,Keyboard,Accessories,South,4,23712,17229.59,2025-07-14
47,4619,Phone,Electronics,East,1,43101,37621.72,2025-09-30
48,3607,Phone,Electronics,North,2,29761,22386.07,2025-07-08
49,4279,Laptop,Electronics,South,5,10790,8104.4,2026-01-19
